C.O.;Desc. C.O.;REF_Combinada;Nro documento;Fecha;Cantidad inv.;Suma de Vlr_Bruto;Suma de Vlr_Subtotal
11;ADMINISTRACION;XZ0862:00005:;FSV-00001071;17/01/2019;1;188922;75569
11;ADMINISTRACION;XA0574:00002:;FSV-00001072;17/01/2019;1;1241100;434385
11;ADMINISTRACION;XZ0686:00004:;FSV-00001073;18/01/2019;1;385318;96330
11;ADMINISTRACION;XZ0686:00004:;FSV-00001074;18/01/2019;1;385318;96330
11;ADMINISTRACION;XA0539:00061:;FSV-00001075;21/01/2019;1;722688;722688
11;ADMINISTRACION;XA0197:00009:;FSV-00001077;21/01/2019;1;1912346;956173
11;ADMINISTRACION;XA0194:00009:;FSV-00001078;21/01/2019;1;2471881;1235940
11;ADMINISTRACION;XY0028:00009:;FSV-00001079;23/01/2019;1;1429434;714717
11;ADMINISTRACION;XZ0301:00009:;FSV-00001079;23/01/2019;1;2067486;1033742
11;ADMINISTRACION;XA0554:00014:;FSV-00001080;23/01/2019;1;1033225;516612
11;ADMINISTRACION;XA0533:00040:;FSV-00001081;23/01/2019;1;929799;464899
11;ADMINISTRACION;XA0682:00029:;FSV-00001082;24/01/2019;1;2482213;2482213
11;ADMINISTRACION;D05307:00205:00205;FSV-00001083;24/01/2019;1;2601678;1300838
11;ADMINISTRACION;D01656:00130:00130;FSV-00001085;29/01/2019;1;1345483;672742
11;ADMINISTRACION;XZ0657:00001:;FSV-00001085;29/01/2019;1;471703;306607
11;ADMINISTRACION;XA0643:00009:;FSV-00001114;4/02/2019;1;3816418;2480672
11;ADMINISTRACION;XA0679:00109:;FSV-00001115;4/02/2019;1;775684;387842
11;ADMINISTRACION;XZ0484:00001:;FSV-00001115;4/02/2019;1;1222857;489142
11;ADMINISTRACION;XZ0610:00002:;FSV-00001116;4/02/2019;2;847698;169539
11;ADMINISTRACION;XA0532:00009:;FSV-00001117;11/02/2019;1;3361345;1680672
11;ADMINISTRACION;XA0187:00005:;FSV-00001118;12/02/2019;1;911148;302545
11;ADMINISTRACION;XA0187:00005:;FSV-00001118;12/02/2019;2;1822297;605090
11;ADMINISTRACION;XA0413:00026:;FSV-00001120;14/02/2019;4;1940270;1261176
11;ADMINISTRACION;XA0414:00026:;FSV-00001120;14/02/2019;2;763283;496134
11;ADMINISTRACION;XZ0139:00005:;FSV-00001120;14/02/2019;2;1340057;402017
11;ADMINISTRACION;XZ0364:00029:;FSV-00001120;14/02/2019;36;12099630;2419926
11;ADMINISTRACION;XA0150:00001:;FSV-00001121;14/02/2019;1;774661;309864
11;ADMINISTRACION;XA0369:00046:;FSV-00001122;15/02/2019;2;328124;213281
11;ADMINISTRACION;XZ0249:00001:;FSV-00001122;15/02/2019;2;328124;213281
11;ADMINISTRACION;D00935:00016:00016;FSV-00001124;20/02/2019;1;524357;268901
11;ADMINISTRACION;XA0370:00049:;FSV-00001124;20/02/2019;2;328124;213281
11;ADMINISTRACION;XA0370:00049:;FSV-00001124;20/02/2019;4;656247;426561
11;ADMINISTRACION;XZ0333:00026:;FSV-00001124;20/02/2019;1;1554291;310858
11;ADMINISTRACION;XZ0364:00029:;FSV-00001125;21/02/2019;4;1344403;268881
11;ADMINISTRACION;XZ0610:00002:;FSV-00001126;21/02/2019;2;847698;169539
11;ADMINISTRACION;D00991:00066:00066;FSV-00001128;22/02/2019;1;644115;644115
11;ADMINISTRACION;D00985:00069:00069;FSV-00001129;25/02/2019;1;1275966;637983
11;ADMINISTRACION;XA0514:00005:;FSV-00001130;25/02/2019;1;206841;106891
11;ADMINISTRACION;XA0516:00005:;FSV-00001130;25/02/2019;1;144786;66555
11;ADMINISTRACION;XZ0139:00005:;FSV-00001130;25/02/2019;1;670028;201008
11;ADMINISTRACION;D00922:00073:00075;FSV-00001154;1/03/2019;1;1350038;877525
11;ADMINISTRACION;D00923:00073:00075;FSV-00001154;1/03/2019;1;1499127;974433
11;ADMINISTRACION;D00935:00048:00048;FSV-00001155;1/03/2019;1;536470;268235
11;ADMINISTRACION;XZ0652:00029:;FSV-00001155;1/03/2019;2;528867;264434
11;ADMINISTRACION;D00902:00065:00065;FSV-00001157;4/03/2019;1;1141513;570756
