DEPARTAMENTO,SUBCATEGORIA,REF_Combinada,Referencia,Ext. 1 detalle,Ext. 2 detalle,Disp.
P001 - COMEDORES,BIBL - BIBLIOTECAS,XA0669:00189:,XA0669,00189,"",2
P001 - COMEDORES,BIFT - BIFFET,BR0031:00198:,BR0031,00198,"",32
P001 - COMEDORES,BIFT - BIFFET,XA0543:00183:,XA0543,00183,"",5
P001 - COMEDORES,BIFT - BIFFET,XA0698:00183:,XA0698,00183,"",2
P001 - COMEDORES,BIFT - BIFFET,XC0041:00001:,XC0041,00001,"",60
P001 - COMEDORES,BIFT - BIFFET,XC0064::,XC0064,"","",23
P001 - COMEDORES,BIFT - BIFFET,XC0078::,XC0078,"","",14
P001 - COMEDORES,BIFT - BIFFET,XZ0483:00005:,XZ0483,00005,"",2
P001 - COMEDORES,BIFT - BIFFET,XZ0484:00001:,XZ0484,00001,"",11
P001 - COMEDORES,CONS - CONSOLAS,BR0032:00198:,BR0032,00198,"",30
P001 - COMEDORES,CONS - CONSOLAS,BR0037::,BR0037,"","",12
P001 - COMEDORES,CONS - CONSOLAS,BR0049::,BR0049,"","",14
P001 - COMEDORES,CONS - CONSOLAS,BR0050::,BR0050,"","",22
P001 - COMEDORES,CONS - CONSOLAS,XA0090:00149:,XA0090,00149,"",2
P001 - COMEDORES,CONS - CONSOLAS,XA0413:00026:,XA0413,00026,"",24
P001 - COMEDORES,CONS - CONSOLAS,XA0537:00065:,XA0537,00065,"",7
P001 - COMEDORES,CONS - CONSOLAS,XA0718:00029:,XA0718,00029,"",13
P001 - COMEDORES,CONS - CONSOLAS,XY0786:00001:,XY0786,00001,"",37
P001 - COMEDORES,CONS - CONSOLAS,XZ0103:00002:,XZ0103,00002,"",4
P001 - COMEDORES,CONS - CONSOLAS,XZ0106:00005:,XZ0106,00005,"",4
P001 - COMEDORES,CONS - CONSOLAS,XZ0722:00005:,XZ0722,00005,"",28
P001 - COMEDORES,CONS - CONSOLAS,XZ0846:00026:,XZ0846,00026,"",2
P001 - COMEDORES,CONS - CONSOLAS,XZ0902:00005:,XZ0902,00005,"",3
P001 - COMEDORES,CONS - CONSOLAS,XZ0903:00005:,XZ0903,00005,"",18
P001 - COMEDORES,CONS - CONSOLAS,XZ0927:00136:,XZ0927,00136,"",5
P001 - COMEDORES,CONS - CONSOLAS,XZ0928:00137:,XZ0928,00137,"",3
P001 - COMEDORES,CONS - CONSOLAS,XZ0929:00138:,XZ0929,00138,"",2
P001 - COMEDORES,CONS - CONSOLAS,XZ0930:00139:,XZ0930,00139,"",4
P001 - COMEDORES,CONS - CONSOLAS,XZ0953:00009:,XZ0953,00009,"",2
P001 - COMEDORES,MBAR - MESAS DE BAR,XA0186:00015:,XA0186,00015,"",1
P001 - COMEDORES,MBAR - MESAS DE BAR,XA0383:00005:,XA0383,00005,"",63
P001 - COMEDORES,MBAR - MESAS DE BAR,XC0061:00051:,XC0061,00051,"",23
P001 - COMEDORES,MBAR - MESAS DE BAR,XY0319:00001:,XY0319,00001,"",7
P001 - COMEDORES,MBAR - MESAS DE BAR,XZ0139:00005:,XZ0139,00005,"",34
P001 - COMEDORES,MBAR - MESAS DE BAR,XZ0141:00005:,XZ0141,00005,"",3
P001 - COMEDORES,MBAR - MESAS DE BAR,XZ0386:00046:,XZ0386,00046,"",3
P001 - COMEDORES,MBAR - MESAS DE BAR,XZ0437:00001:,XZ0437,00001,"",5
P001 - COMEDORES,MCO6 - MESAS DE 6P,XA0381:00029:,XA0381,00029,"",2
P001 - COMEDORES,MCO6 - MESAS DE 6P,XA0418:00066:,XA0418,00066,"",11
P001 - COMEDORES,MCO6 - MESAS DE 6P,XA0691:00014:,XA0691,00014,"",19
P001 - COMEDORES,MCO6 - MESAS DE 6P,XA0725:00029:,XA0725,00029,"",11
P001 - COMEDORES,MCO6 - MESAS DE 6P,XR0296:00035:,XR0296,00035,"",2
P001 - COMEDORES,MCO6 - MESAS DE 6P,XR0430:00035:,XR0430,00035,"",3
P001 - COMEDORES,MCO6 - MESAS DE 6P,XR0754:00026:,XR0754,00026,"",1
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0201:00001:,XY0201,00001,"",4
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0202:00005:,XY0202,00005,"",2
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0203:00009:,XY0203,00009,"",2
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0517:00005:,XY0517,00005,"",3
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0768:00001:,XY0768,00001,"",4
P001 - COMEDORES,MCO6 - MESAS DE 6P,XY0995:00005:,XY0995,00005,"",6
P001 - COMEDORES,MCO6 - MESAS DE 6P,XZ0567:00005:,XZ0567,00005,"",34
P001 - COMEDORES,MCO6 - MESAS DE 6P,XZ0598:00009:,XZ0598,00009,"",3
P001 - COMEDORES,MCO6 - MESAS DE 6P,XZ0897:00044:,XZ0897,00044,"",40
P001 - COMEDORES,MCOM - MESAS DE 4P,XA0172:00015:,XA0172,00015,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XC0062::,XC0062,"","",31
P001 - COMEDORES,MCOM - MESAS DE 4P,XR0516:00024:,XR0516,00024,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XR0596:00002:,XR0596,00002,"",6
P001 - COMEDORES,MCOM - MESAS DE 4P,XR0927:00044:,XR0927,00044,"",2
P001 - COMEDORES,MCOM - MESAS DE 4P,XR0946:00004:,XR0946,00004,"",5
P001 - COMEDORES,MCOM - MESAS DE 4P,XR0978:00024:,XR0978,00024,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0141:00005:,XY0141,00005,"",5
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0160:00042:,XY0160,00042,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0185:00002:,XY0185,00002,"",24
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0344:00007:,XY0344,00007,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0933:00007:,XY0933,00007,"",4
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0959:00024:,XY0959,00024,"",4
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0965:00018:,XY0965,00018,"",2
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0979:00005:,XY0979,00005,"",2
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0980:00024:,XY0980,00024,"",5
P001 - COMEDORES,MCOM - MESAS DE 4P,XY0997:00005:,XY0997,00005,"",4
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0003:00005:,XZ0003,00005,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0105:00005:,XZ0105,00005,"",6
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0149:00005:,XZ0149,00005,"",6
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0150:00005:,XZ0150,00005,"",9
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0573:00005:,XZ0573,00005,"",175
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0575:00001:,XZ0575,00001,"",4
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0596:00026:,XZ0596,00026,"",3
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0871:00012:,XZ0871,00012,"",5
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0872:00035:,XZ0872,00035,"",5
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0899:00045:,XZ0899,00045,"",45
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0900:00035:,XZ0900,00035,"",2
P001 - COMEDORES,MCOM - MESAS DE 4P,XZ0940:00044:,XZ0940,00044,"",10
