Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
0016401;BAR SET WITHNEY 1X1X90 4P BL 3C;C.BLANCO ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SET4 - SET 4P;MOD - MODERNO;002 - DESCONTINUADO;BAR SET WITHNEY;100;100;90;Vidrio;brillante;XA0288:00001:;BLANCO;4 Puestos
0011529;BAR SET WITHNEY 1X1X90 4P NG 4C;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SET4 - SET 4P;MOD - MODERNO;002 - DESCONTINUADO;BAR SET WITHNEY;100;100;90;Vidrio;brillante;XA0081:00005:;NEGRO;4 Puestos
0016402;BAR SET WRITU 90X90X90 4P BL 4C;C.BLANCO ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SET4 - SET 4P;MOD - MODERNO;001 - LINEA;BAR SET WRITU;90;90;90;Vidrio;brillante;XA0287:00001:;BLANCO;4 Puestos
0011545;BAR SET WRITU 90X90X90 4P CROM NG 4C;C.CRO/NEG;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SET4 - SET 4P;MOD - MODERNO;002 - DESCONTINUADO;BAR SET WRITU;90;90;90;Vidrio;brillante;XA0080:00018:;CROMADO/NEGRO;4 Puestos
0018394;BAR SET WRITU 90X90X90 4P CROM NG 4C;C.CRO/NEG;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SET4 - SET 4P;MOD - MODERNO;002 - DESCONTINUADO;BAR SET WRITU;90;90;90;Vidrio;brillante;XA0080-1:00018:;CROMADO/NEGRO;4 Puestos
0019280;BASE CAMA CEUTA DOBLE;F-263 T/P;F-263 T/P;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P002 - ALCOBAS;BCAM - BASE CAMA DOBLE;MOD - MODERNO;001 - LINEA;BASE CAMA CEUTA;28;198;148;Sintético;Superficies mates;D00102:00008:00008;CAFE;2 Puestos
0018214;BASE CAMA TAPIZADA 120X190;F-156 AGO;F-156 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P002 - ALCOBAS;BCAM - BASE CAMA DOBLE;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;BASE CAMA TAPIZADA SEMIDOBLE;40;130;200;Microfibra;Textiles suaves;D00006:00120:00120;CAFE;1 Puesto
0018253;BASE CAMA TAPIZADA DOBLE;F-156 AGO;F-156 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P002 - ALCOBAS;BCAM - BASE CAMA DOBLE;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;BASE CAMA TAPIZADA DOBLE;40;150;200;Microfibra;Textiles suaves;D00008:00120:00120;CAFE;2 Puestos
0018253;BASE CAMA TAPIZADA DOBLE;F-157 AGO;F-157 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P002 - ALCOBAS;BCAM - BASE CAMA DOBLE;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;BASE CAMA TAPIZADA DOBLE;40;150;200;Microfibra;Textiles suaves;D00008:00124:00124;GRIS;2 Puestos
0018253;BASE CAMA TAPIZADA DOBLE;F-258 AGO;F-258 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P002 - ALCOBAS;BCAM - BASE CAMA DOBLE;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;BASE CAMA TAPIZADA DOBLE;40;150;200;Microfibra;Textiles suaves;D00008:00437:00437;GRIS;2 Puestos
