,REF,CANTIDAD,TOTAL,PRECIO_PROMEDIO,DESCUENTO_PROMEDIO,ITEM,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
1163,XZ0564:00005:,804,107971047,229995.85723981902,0.38055312202229835,1436,SILLA COMEDOR JAIM,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,41.0,104.0,58.0,SILLA COMEDOR JAIM CROMADO NG 2C,SILLAS DE COMEDOR,NEGRO,SINTÉTICO
842,XA0743:00011:,702,88788807,240223.8360433604,0.46493040730249985,18477,SILLA DE COMEDOR ETHEL,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,1.0,MIEL,46.0,103.0,41.0,SILLA DE COMEDOR ETHEL MIEL,SILLAS DE COMEDOR,MIEL,SINTÉTICO
546,XA0161:00005:,688,42881066,99947.34899122808,0.3370400141200395,15239,SILLA COMEDOR WAAMIKA,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,40.0,96.0,50.0,SILLA COMEDOR WAAMIKA NG,SILLAS DE COMEDOR,NEGRO,SINTÉTICO
1153,XZ0504:00005:,517,41753172,163282.55883190883,0.4868202064404532,4712,SILLA COMEDOR WASIMA,COMEDORES,SILLAS DE COMEDOR,DESCONTINUADO,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,45.0,95.0,45.0,SILLA COMEDOR WASIMA CROMADO NG,SILLAS DE COMEDOR,NEGRO,SINTÉTICO
650,XA0384:00005:,494,60958989,226037.75059101655,0.4344266850764347,16938,SILLA BAR ALDIS,COMEDORES,SILLAS DE BAR,LINEA,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,NEGRO,42.0,105.0,58.0,SILLA BAR ALDIS NG 2C,OTROS,NEGRO,MICROFIBRA
624,XA0346:00009:,426,406944608,1819217.8097643096,0.47197897737697636,16272,SOFA RECLINO KALERIN,SALAS Y SOFAS,RECLINABLES,LINEA,IMPORTADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,160.0,108.0,87.0,SOFA RECLINO KALERIN 2P CF,RECLINABLES,CAFE,MICROFIBRA
1112,XZ0247:00005:,424,41390965,172263.12358757062,0.4139362649874228,4873,SILLA COMEDOR SLASH,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,41.0,90.0,41.0,SILLA COMEDOR SLASH NG,SILLAS DE COMEDOR,NEGRO,SINTÉTICO
628,XA0368:00019:,399,192540753,879741.0386619379,0.4449443992314323,16448,SET COMEDOR CAMERON,COMEDORES,SET 4P,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,4.0,GRIS,120.0,75.0,70.0,COMEDOR CAMERON TAPA MADERA 4P GR/BL 3C,SET 4P,GRIS,MADERA LAMINADA
845,XA0745:00011:,395,53908034,259827.94240196075,0.4663416162621887,18481,SILLA DE COMEDOR EUDAID,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,CLÁSICO,MADERA,TEXTURA,1.0,MIEL,46.0,103.0,41.0,SILLA DE COMEDOR EUDAID MIEL,SILLAS DE COMEDOR,MIEL,OTRO
625,XA0347:00009:,389,471968954,2182189.38501292,0.44217609061832963,16273,SOFA RECLINO KALERIN,SALAS Y SOFAS,RECLINABLES,LINEA,IMPORTADO,C+M - CLÁSICO + MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,210.0,108.0,87.0,SOFA RECLINO KALERIN 3P CF,RECLINABLES,CAFE,MICROFIBRA
