,ITEM,REF,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
0,11057,A01040:00005:,SILLA COMEDOR 85,COMEDORES,SILLAS DE COMEDOR,DESCONTINUADO,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,40.0,77.0,47.0,SILLA COMEDOR 85-1062 NG NO GARANTIA,SILLAS DE COMEDOR,NEGRO,SINTÉTICO
1,19389,BR0002:00193:,ESTANTE PRAIA,ESTUDIO,ESTANTES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/RUSTICO,41.0,180.0,63.0,ESTANTE PRAIA 1 GAV RT3091 BL/RUST,OTROS,OTRO,MADERA LAMINADA
2,19390,BR0003:00194:,ESTANTE PRAIA,ESTUDIO,ESTANTES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,NEGRO/RUSTICO,41.0,180.0,63.0,ESTANTE PRAIA 1 GAV RT3091 NG/RUST,OTROS,OTRO,MADERA LAMINADA
3,19391,BR0004:00193:,ESCRITORIO RETRO L PARANA,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/RUSTICO,136.0,78.0,108.0,ESCRITORIO RETRO L PARANA RT3077 BL/RUST,OTROS,OTRO,MADERA LAMINADA
4,19392,BR0005:00193:,ESCRITORIO RETRO VITORIA,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/RUSTICO,130.0,77.0,60.0,ESCRITORIO RETRO VITORIA RT3067 BL/RUST,OTROS,OTRO,MADERA LAMINADA
5,19396,BR0007:00195:,ESTANTE PORTO,ESTUDIO,ESTANTES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/AMARILLO,77.0,180.0,33.0,ESTANTE PORTO RT3047 BL/AMA 2C,OTROS,OTRO,MADERA LAMINADA
6,19399,BR0008:00012:,ESTANTE PORTO,ESTUDIO,ESTANTES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/NEGRO,77.0,180.0,33.0,ESTANTE PORTO RT3047 BL/NG 2C,OTROS,OTRO,MADERA LAMINADA
7,19411,BR0012:00194:,ESCRITORIO ESTANTE BENTO,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,NEGRO/RUSTICO,120.0,70.0,50.0,ESCRITORIO ESTANTE BENTO RT3120 NG/RUST,OTROS,OTRO,MADERA LAMINADA
8,19412,BR0013:00194:,MESA TV RETRO,SALAS Y SOFAS,MESA TV,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,NEGRO/RUSTICO,126.0,42.0,41.0,MESA TV RETRO 2GAV RT3069 NG/RUST,OTROS,OTRO,MADERA LAMINADA
9,19418,BR0017:00001:,CAMA INFANTIL RODIZIO,ALCOBAS,CAMA SENCILLA,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MDF,MATE,1.0,BLANCO,105.0,20.0,191.0,CAMA AUX INFANTIL C/RODIZIO BELO CA11 BL,OTROS,BLANCO,OTRO
10,19419,BR0018:00001:,CAMA INFANTIL BAUL,ALCOBAS,CAMA SENCILLA,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MDF,MATE,1.0,BLANCO,110.0,20.0,190.0,CAMA SENCILLA INFANTIL C/BAUL CB11 BL 2C,OTROS,BLANCO,OTRO
11,19422,BR0019:00160:,CENTRO ENTRE. OVAR,SALAS Y SOFAS,CENTROS DE ENTRETENIMIENTO,NOVEDAD,IMPORTADO,CLÁSICO,MADERA LAMINADA,MATE,,TEKA,150.0,150.0,40.0,CENTRO ENTRET CON PANEL OVAR P600 TK,OTROS,OTRO,MADERA LAMINADA
