,ID,REF,CANTIDAD,DETALLE_1,DETALLE_2,ITEM,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
0,XA0669,XA0669:00189:,2,189.0,,15999.0,BIBLIOTECA STEFAN,ESTUDIO,BIBLIOTECAS,LINEA,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,ROBLE,40.0,55.0,41.0,BIFET BIBLIOTECA STEFAN ROBLE 2 COL,OTROS,OTRO,MADERA LAMINADA
1,BR0031,BR0031:00198:,32,198.0,,19434.0,BIFFET MAFRA,COMEDORES,BIFFET,NOVEDAD,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,NOGAL,147.0,80.0,38.0,BIFFET MAFRA RB04 NGL/BL,OTROS,OTRO,MADERA LAMINADA
2,XA0543,XA0543:00183:,5,183.0,,17476.0,BIFET SKEET,COMEDORES,BIFFET,LINEA,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,BLANCO/BEIGE,90.0,70.0,40.0,BIFET SKEET 100X40X82 BL/BE,OTROS,OTRO,MADERA LAMINADA
3,XA0698,XA0698:00183:,2,183.0,,18188.0,BIFFET HARPER,COMEDORES,BIFFET,DESCONTINUADO,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,BLANCO/BEIGE,120.0,67.5,42.0,BIFFET HARPER 120*42*67.5 BL/BG,OTROS,OTRO,MADERA LAMINADA
4,XC0041,XC0041:00001:,60,1.0,,19451.0,BIFFE MADAN,COMEDORES,BIFFET,LINEA,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,BLANCO,90.0,70.0,40.0,BIFFET MADAN TERMINADO MADERA BL,OTROS,BLANCO,MADERA LAMINADA
5,XC0064,XC0064::,23,,,,,,,,,,,,,,,,,,OTROS,OTRO,OTRO
6,XC0078,XC0078::,14,,,19530.0,MESA DE NOCHE RADNA,COMEDORES,BIFFET,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO/BEIGE,80.0,92.0,39.0,BIFFET GABINETE RADNA BLANCO/ BEIGE,OTROS,OTRO,MADERA LAMINADA
7,XZ0483,XZ0483:00005:,2,5.0,,1493.0,BIBLIOTECA JAMAI,COMEDORES,BIFFET,DESCONTINUADO,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,NEGRO,88.0,180.0,36.0,BIFET JAMAI 3 PUERTAS NG 3C,OTROS,NEGRO,MADERA LAMINADA
8,XZ0484,XZ0484:00001:,11,1.0,,4944.0,BIBLIOTECA JAMAI,COMEDORES,BIFFET,DESCONTINUADO,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,BLANCO,88.0,180.0,36.0,BIFET JAMAI 3 PUERTAS BL 3C,OTROS,BLANCO,MADERA LAMINADA
9,BR0032,BR0032:00198:,30,198.0,,19435.0,CONSOLA ESTORIL,COMEDORES,CONSOLAS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,NOGAL,90.0,76.0,36.0,CONSOLA  ESTORIL RA02 NGL/BL,OTROS,OTRO,MADERA LAMINADA
10,BR0037,BR0037::,12,,,,,,,,,,,,,,,,,,OTROS,OTRO,OTRO
11,BR0049,BR0049::,14,,,,,,,,,,,,,,,,,,OTROS,OTRO,OTRO
12,BR0050,BR0050::,22,,,,,,,,,,,,,,,,,,OTROS,OTRO,OTRO
13,XA0090,XA0090:00149:,2,149.0,,11581.0,SCONSOLA WISAH,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,CLÁSICO,VIDRIO,BRILLANTE,,CRISTAL/CAFE,80.0,90.0,50.0,CONSOLA WISAH LACA NL 2C LIQUIDACI�N,OTROS,OTRO,VIDRIO
14,XA0413,XA0413:00026:,24,26.0,,16948.0,CONSOLA RINA,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,CRISTAL,35.0,40.0,70.0,CONSOLA RINA CRISTAL TEMPLADO 10MM 2C,OTROS,CRISTAL,VIDRIO
15,XA0537,XA0537:00065:,7,65.0,,17619.0,CONSOLA WEBER,COMEDORES,CONSOLAS,LINEA,IMPORTADO,CONTEMPORÁNEO,VIDRIO,BRILLANTE,,BEIGE/NEGRO,120.0,100.0,45.0,CONSOLA WEBER CRISTAL 120X45 BE,OTROS,OTRO,VIDRIO
16,XA0718,XA0718:00029:,13,29.0,,18426.0,CONSOLA WARATA,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,MODERNO,MDF,MATE,,GRIS,74.0,110.0,45.0,CONSOLA WARATA 110X45X74 GR 2C,OTROS,GRIS,OTRO
17,XY0786,XY0786:00001:,37,1.0,,4807.0,CONSOLA SAMYE,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,BLANCO,110.0,70.0,40.0,CONSOLA SAMYE BL 2C,OTROS,BLANCO,VIDRIO
18,XZ0103,XZ0103:00002:,4,2.0,,274.0,CONSOLO DIVO,COMEDORES,CONSOLAS,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,WENGUE,100.0,80.0,40.0,CONSOLA DIVO 120X45 WG 2C,OTROS,OTRO,VIDRIO
19,XZ0106,XZ0106:00005:,4,5.0,,262.0,CONSOLA LACEY,COMEDORES,CONSOLAS,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,NEGRO,60.0,80.0,40.0,CONSOLA LACEY NG 2C,OTROS,NEGRO,VIDRIO
20,XZ0722,XZ0722:00005:,28,5.0,,1628.0,CONSOLA WENONA,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,VIDRIO,BRILLANTE,,NEGRO,75.0,100.0,40.0,CONSOLA WENONA NG 2C,OTROS,NEGRO,VIDRIO
