,PROD_REF,CLASSIFIER
0,BR0002:00193:,Erratic
1,BR0003:00194:,Lumpy
2,BR0004:00193:,Lumpy
3,BR0005:00193:,Erratic
4,BR0007:00195:,Erratic
5,BR0008:00012:,Lumpy
6,BR0012:00194:,Erratic
7,BR0013:00194:,Lumpy
8,BR0017:00001:,Erratic
9,BR0018:00001:,Erratic
10,BR0019:00160:,Lumpy
11,BR0020:00001:,Erratic
12,BR0021:00159:,Erratic
13,BR0024:00197:,Lumpy
14,BR0025:00001:,Lumpy
15,BR0026:00001:,Erratic
16,BR0027:00001:,Erratic
17,BR0028:00001:,Erratic
18,BR0029:00197:,Erratic
19,BR0030:00200:,Erratic
20,BR0031:00198:,Erratic
21,BR0032:00198:,Erratic
22,BR0033:00198:,Lumpy
23,D00008:00184:00184,Erratic
24,D00008:00192:00192,Erratic
25,D00008:00195:00195,Intermittent
26,D00008:00197:00197,Erratic
27,D00008:00213:00213,Erratic
29,D00012:00115:00115,Lumpy
32,D00014:00081:00096,Lumpy
33,D00014:00095:00095,Lumpy
34,D00014:00120:00120,Lumpy
35,D00014:00437:00437,Lumpy
36,D00028:00068:00068,Lumpy
37,D00028:00103:00103,Lumpy
38,D00028:00192:00192,Erratic
39,D00028:00213:00213,Erratic
40,D00036:00061:00061,Lumpy
41,D00036:00065:00065,Lumpy
42,D00036:00068:00068,Lumpy
43,D00036:00141:00141,Lumpy
44,D00037:00061:00061,Lumpy
45,D00037:00065:00065,Lumpy
46,D00037:00068:00068,Lumpy
47,D00038:00118:00118,Lumpy
48,D00038:00124:00124,Lumpy
49,D00039:00118:00118,Lumpy
50,D00039:00124:00124,Lumpy
51,D00040:00118:00118,Lumpy
52,D00040:00125:00125,Lumpy
53,D00042:00157:,Erratic
54,D00043:00132:00132,Lumpy
55,D00044:00157:,Lumpy
56,D00045:00065:00065,Lumpy
57,D00045:00118:00118,Lumpy
58,D00046:00061:00061,Lumpy
59,D00046:00118:00118,Lumpy
60,D00047:00061:00061,Lumpy
61,D00047:00118:00118,Lumpy
62,D00050:00061:00061,Erratic
63,D00050:00103:00103,Erratic
64,D00050:00116:00116,Lumpy
65,D00050:00184:00184,Smooth
66,D00050:00185:00185,Erratic
67,D00051:00103:00103,Intermittent
68,D00051:00116:00116,Lumpy
69,D00051:00184:00184,Erratic
70,D00051:00185:00185,Smooth
71,D00054:00011:,Lumpy
72,D00055:00157:,Lumpy
73,D00056:00015:,Lumpy
74,D00069:00135:00135,Lumpy
75,D00070:00135:00135,Lumpy
76,D00077:00120:00120,Erratic
77,D00077:00124:00124,Lumpy
78,D00077:00195:00195,Lumpy
79,D00077:00197:00197,Erratic
80,D00077:00437:00437,Lumpy
81,D00086:00376:00376,Lumpy
82,D00086:00382:00382,Lumpy
83,D00101:00008:00008,Erratic
84,D00101:00130:00130,Erratic
85,D00101:00194:00194,Erratic
86,D00101:00197:00197,Erratic
87,D00102:00008:00008,Erratic
88,D00102:00130:00130,Lumpy
89,D00102:00197:00197,Erratic
90,D00118:00001:,Lumpy
91,D00120:00032:,Lumpy
92,D00121:00021:,Lumpy
93,D00122:00021:,Lumpy
94,D00125:00021:,Lumpy
95,D00126:00021:,Lumpy
96,D00127:00021:,Lumpy
97,D00133:00033:,Lumpy
98,D00134:00021:,Lumpy
99,D00135:00034:,Lumpy
102,D00510:00079:00079,Lumpy
106,D00510:00130:00130,Lumpy
107,D00510:00382:00382,Lumpy
112,D00511:00079:00079,Lumpy
114,D00511:00130:00130,Lumpy
116,D00511:00382:00382,Lumpy
118,D00514:00058:00058,Lumpy
119,D00514:00068:00068,Lumpy
122,D00514:00130:00130,Lumpy
130,D00515:00184:00184,Lumpy
133,D00533:00132:00132,Lumpy
134,D00534:00132:00132,Lumpy
135,D00538:00141:00141,Erratic
136,D00538:00188:00188,Smooth
137,D00542:00067:00067,Erratic
138,D00542:00072:00072,Lumpy
139,D00543:00067:00067,Erratic
140,D00543:00072:00072,Lumpy
141,D00544:00058:00058,Intermittent
142,D00544:00061:00061,Erratic
143,D00544:00062:00062,Lumpy
144,D00544:00068:00068,Intermittent
145,D00544:00195:00195,Erratic
146,D00545:00058:00058,Lumpy
147,D00545:00061:00061,Smooth
148,D00545:00062:00062,Lumpy
149,D00545:00068:00068,Intermittent
150,D00545:00195:00195,Erratic
151,D00546:00061:00061,Erratic
152,D00546:00185:00185,Smooth
153,D00546:00188:00188,Erratic
154,D00547:00197:00197,Erratic
155,D00548:00197:00197,Erratic
158,D00904:00013:00013,Lumpy
160,D00904:00063:00063,Lumpy
163,D00904:00068:00068,Lumpy
166,D00904:00071:00071,Lumpy
169,D00904:00125:00125,Erratic
170,D00904:00188:00188,Erratic
171,D00904:00194:00194,Lumpy
173,D00904:00366:00366,Lumpy
174,D00904:00367:00367,Lumpy
175,D00904:00378:00378,Lumpy
177,D00904:00382:00382,Lumpy
179,D00904:00406:00406,Lumpy
180,D00935:00048:00048,Smooth
181,D00935:00051:00051,Erratic
183,D00963:00115:00115,Lumpy
184,D00964:00115:00115,Lumpy
185,D00976:00125:00125,Lumpy
186,D00981:00132:00132,Lumpy
187,D00982:00132:00132,Erratic
189,D01291:00066:00066,Lumpy
190,D01291:00067:00067,Lumpy
192,D01291:00069:00069,Intermittent
193,D01291:00070:00070,Lumpy
196,D01291:00106:00106,Lumpy
198,D01291:00116:00116,Lumpy
199,D01291:00125:00125,Lumpy
201,D01291:00129:00129,Intermittent
202,D01291:00132:00132,Smooth
203,D01291:00135:00135,Lumpy
204,D01291:00365:00365,Lumpy
205,D01291:00367:00367,Lumpy
206,D01291:00372:00372,Intermittent
207,D01291:00379:00379,Lumpy
208,D01291:00396:00396,Smooth
210,D01300:00130:00129,Lumpy
211,D01300:00382:00129,Lumpy
212,D01301:00130:00129,Lumpy
213,D01301:00382:00129,Lumpy
214,D01306:00074:00074,Lumpy
215,D01306:00075:00075,Lumpy
216,D01307:00074:00074,Lumpy
217,D01307:00075:00075,Lumpy
218,D01318:00068:00068,Lumpy
219,D01318:00072:00072,Lumpy
220,D01318:00103:00103,Lumpy
221,D01318:00115:00115,Erratic
222,D01318:00116:00116,Intermittent
223,D01655:00129:00129,Lumpy
225,D01655:00130:00130,Erratic
226,D01656:00129:00129,Lumpy
227,D01656:00130:00129,Lumpy
228,D01656:00130:00130,Lumpy
229,XA0055:00029:,Lumpy
230,XA0056:00024:,Lumpy
232,XA0063:00029:,Lumpy
233,XA0067:00118:,Lumpy
234,XA0073:00005:,Lumpy
236,XA0102:00001:,Intermittent
237,XA0104:00108:,Lumpy
238,XA0158:00005:,Intermittent
240,XA0161:00005:,Smooth
241,XA0162:00009:,Lumpy
242,XA0163:00001:,Lumpy
243,XA0171:00005:,Lumpy
245,XA0180:00005:,Lumpy
246,XA0187:00005:,Lumpy
247,XA0188:00009:,Lumpy
248,XA0189:00001:,Lumpy
250,XA0194:00009:,Lumpy
251,XA0195:00001:,Lumpy
252,XA0196:00005:,Lumpy
253,XA0197:00009:,Lumpy
254,XA0198:00001:,Lumpy
255,XA0227:00009:,Lumpy
256,XA0239:00001:,Lumpy
259,XA0248:00005:,Lumpy
260,XA0255:00128:,Lumpy
261,XA0257:00127:,Lumpy
262,XA0260:00037:,Lumpy
263,XA0262-1:00029:,Lumpy
264,XA0266:00046:,Lumpy
265,XA0268:00049:,Lumpy
266,XA0269:00009:,Lumpy
267,XA0270:00001:,Lumpy
269,XA0272:00016:,Lumpy
271,XA0274:00024:,Lumpy
272,XA0274:00170:,Lumpy
273,XA0287:00001:,Lumpy
275,XA0302:00029:,Lumpy
276,XA0340:00029:,Lumpy
277,XA0341:00029:,Lumpy
278,XA0343:00009:,Lumpy
279,XA0344:00009:,Lumpy
280,XA0346:00009:,Erratic
281,XA0347:00009:,Erratic
282,XA0365:00005:,Lumpy
283,XA0369:00046:,Intermittent
284,XA0371:00082:,Intermittent
287,XA0378:00013:,Lumpy
289,XA0380:00024:,Lumpy
290,XA0383:00005:,Erratic
291,XA0384:00005:,Erratic
292,XA0386:00061:,Lumpy
293,XA0392:00046:,Lumpy
294,XA0393:00009:,Lumpy
295,XA0394:00108:,Lumpy
296,XA0395:00046:,Lumpy
297,XA0396:00108:,Lumpy
298,XA0404:00005:,Lumpy
299,XA0405:00005:,Lumpy
300,XA0406:00001:,Lumpy
301,XA0407:00181:,Lumpy
302,XA0408:00190:,Lumpy
303,XA0409:00182:,Lumpy
304,XA0412:00026:,Lumpy
305,XA0416:00040:,Lumpy
306,XA0514:00005:,Lumpy
307,XA0515:00001:,Lumpy
309,XA0517:00001:,Lumpy
310,XA0518:00005:,Lumpy
312,XA0525:00005:,Lumpy
313,XA0526:00009:,Lumpy
314,XA0527:00001:,Lumpy
315,XA0528:00005:,Lumpy
316,XA0529:00009:,Lumpy
317,XA0530:00001:,Lumpy
318,XA0531:00005:,Lumpy
319,XA0532:00009:,Lumpy
320,XA0536:00065:,Erratic
321,XA0537:00065:,Lumpy
322,XA0541:00026:,Lumpy
323,XA0543:00183:,Lumpy
325,XA0552:00022:,Lumpy
326,XA0555:00014:,Lumpy
327,XA0566:00009:,Lumpy
329,XA0609:00036:,Lumpy
330,XA0665:00065:,Lumpy
331,XA0666:00189:,Lumpy
332,XA0669:00189:,Lumpy
333,XA0670-1:00009:,Erratic
334,XA0671:00005:,Lumpy
335,XA0672:00009:,Lumpy
336,XA0673:00001:,Lumpy
337,XA0679-1:00109:,Smooth
341,XA0683:00029:,Lumpy
342,XA0684:00005:,Lumpy
343,XA0685:00029:,Lumpy
344,XA0694:00058:,Lumpy
345,XA0695:00012:,Lumpy
346,XA0699:00183:,Lumpy
347,XA0700:00012:,Lumpy
349,XA0705:00036:,Lumpy
350,XA0709:00092:,Lumpy
351,XA0710:00118:,Lumpy
352,XA0711:00036:,Lumpy
353,XA0712:00028:,Lumpy
354,XA0713:00028:,Erratic
355,XA0714:00036:,Lumpy
356,XA0715:00028:,Lumpy
357,XA0717:00029:,Lumpy
358,XA0720:00029:,Lumpy
359,XA0724:00029:,Erratic
360,XA0725:00029:,Erratic
361,XA0726:00005:,Lumpy
362,XA0727:00036:,Lumpy
363,XA0728:00036:,Lumpy
364,XA0731:00049:,Lumpy
365,XA0732:00029:,Lumpy
366,XA0733:00009:,Lumpy
367,XA0735:00189:,Lumpy
368,XA0736:00189:,Erratic
369,XA0737:00005:,Erratic
370,XA0740:00046:,Lumpy
371,XA0741:00009:,Lumpy
372,XA0742:00011:,Lumpy
373,XA0743:00011:,Erratic
374,XA0744-1:00011:,Lumpy
375,XA0744::,Lumpy
376,XA0745:00011:,Lumpy
377,XA0748:00092:,Intermittent
378,XA0749:00118:,Lumpy
379,XA0750:00092:,Lumpy
380,XA0751:00118:,Lumpy
381,XA0752:00029:,Lumpy
382,XA0753:00029:,Lumpy
383,XA0754:00009:,Lumpy
384,XA0757:00118:,Lumpy
385,XA0789:00029:,Smooth
386,XA0790:00036:,Lumpy
387,XA0791:00005:,Smooth
388,XA0792:00005:,Lumpy
389,XA0793:00001:,Lumpy
390,XA0798:00001:,Lumpy
391,XA0799:00046:,Erratic
392,XA0800:00049:,Lumpy
393,XA0801:00010:,Lumpy
394,XA0807:00001:,Lumpy
395,XA0808:00009:,Lumpy
396,XA0809:00029:,Lumpy
397,XA0816:00051:,Lumpy
398,XA0817:00051:,Erratic
399,XA0818:00051:,Lumpy
400,XC0001:00009:,Erratic
401,XC0002:00029:,Erratic
402,XC0005:00029:,Erratic
403,XC0006:00029:,Erratic
404,XC0007:00005:,Lumpy
405,XC0008:00005:,Erratic
406,XC0009:00001:,Lumpy
407,XC0010:00001:,Lumpy
408,XC0011:00009:,Lumpy
409,XC0012:00009:,Erratic
410,XC0013:00029:,Lumpy
411,XC0014:00029:,Erratic
412,XC0015:00009:,Lumpy
413,XC0016:00009:,Erratic
414,XC0017:00092:,Lumpy
415,XC0018:00092:,Lumpy
416,XC0019:00118:,Lumpy
417,XC0020:00118:,Lumpy
418,XC0021:00029:,Lumpy
419,XC0022:00005:,Lumpy
420,XC0023:00061:,Erratic
421,XC0024:00061:,Erratic
422,XC0025:00141:,Erratic
423,XC0026:00141:,Erratic
424,XC0027:00141:,Erratic
425,XC0028:00027:,Lumpy
426,XC0029:00141:,Erratic
427,XC0030:00005:,Lumpy
428,XC0031:00001:,Erratic
429,XC0032:00005:,Erratic
430,XC0034:00036:,Lumpy
431,XC0035:00036:,Lumpy
432,XC0036:00029:,Smooth
433,XC0037:00096:,Erratic
434,XC0038:00096:,Erratic
435,XC0039:00029:,Erratic
436,XC0040:00040:,Erratic
437,XC0041:00001:,Lumpy
438,XC0043:00042:,Lumpy
439,XC0044:00192:,Lumpy
440,XC0045::,Erratic
441,XC0046::,Erratic
442,XC0049::,Erratic
443,XC0050::,Erratic
444,XC0051::,Erratic
445,XC0052::,Erratic
446,XC0053::,Erratic
447,XC0054:00049:,Lumpy
448,XC0055:00036:,Lumpy
449,XC0058:00012:,Lumpy
450,XC0059:00046:,Erratic
451,XC0060:00051:,Erratic
452,XC0061:00051:,Erratic
453,XC0062::,Erratic
454,XC0065:00009:,Intermittent
455,XC0066:00029:,Erratic
456,XC0067:00046:,Erratic
457,XC0068:00009:,Erratic
458,XC0071:00046:,Erratic
459,XC0072:00029:,Intermittent
460,XC0073:00201:,Intermittent
461,XC0074:00046:,Erratic
462,XC0076::,Erratic
463,XC0077::,Erratic
464,XC0078::,Erratic
465,XC0079::,Intermittent
466,XC0080:00029:,Erratic
467,XC0081:00108:,Erratic
468,XC0082:00029:,Erratic
469,XC0083:00046:,Erratic
470,XC0084:00005:,Smooth
471,XC0085:00009:,Erratic
472,XC0086:00062:,Erratic
473,XC0087:00034:,Erratic
474,XC0091:00029:,Lumpy
475,XC0092::,Lumpy
476,XC0093-1::,Lumpy
477,XC0093::,Lumpy
478,XC0094-1::,Lumpy
479,XC0094::,Lumpy
480,XC0096-1::,Lumpy
481,XC0096::,Lumpy
482,XC0098:00029:,Lumpy
483,XC0099:00046:,Erratic
484,XC0100:00029:,Lumpy
485,XC0101:00046:,Lumpy
486,XC0102:00029:,Erratic
487,XC0103:00036:,Erratic
488,XC0104:00051:,Erratic
489,XC0105:00051:,Erratic
490,XC0107::,Erratic
491,XC0109::,Erratic
492,XC0110-1:00009:,Erratic
493,XC0110:00009:,Lumpy
494,XC0111::,Erratic
495,XC0112::,Erratic
496,XC0113::,Smooth
497,XC0118:00002:,Intermittent
498,XC0118:00011:,Lumpy
499,XC0119:00011:,Erratic
500,XC0120:00002:,Smooth
501,XC0125:00117:,Erratic
502,XC0126::,Erratic
503,XC0127::,Erratic
504,XC0128::,Erratic
505,XC0129::,Intermittent
506,XC0130::,Intermittent
507,XC0131::,Lumpy
508,XC0132::,Erratic
509,XC0133::,Lumpy
510,XC0134::,Lumpy
511,XC0135::,Lumpy
512,XC0136::,Lumpy
513,XC0137::,Lumpy
514,XC0139::,Lumpy
515,XC0140-1::,Lumpy
516,XC0140::,Lumpy
517,XC0141-1::,Lumpy
518,XC0141::,Lumpy
519,XC0154::,Smooth
520,XC0155::,Smooth
521,XC0157::,Erratic
522,XC0158::,Erratic
523,XC0160::,Erratic
524,XC0162::,Smooth
528,XY0082:00002:,Lumpy
529,XY0097:00001:,Lumpy
530,XY0143:00009:,Intermittent
532,XY0374:00002:,Lumpy
533,XY0785:00005:,Lumpy
534,XY0871:00002:,Lumpy
535,XY0876:00015:,Lumpy
538,XZ0078-1:00005:,Lumpy
540,XZ0106:00005:,Lumpy
542,XZ0141:00005:,Lumpy
543,XZ0207-1:00009:,Lumpy
545,XZ0242:00002:,Lumpy
546,XZ0243:00005:,Erratic
548,XZ0247:00005:,Smooth
549,XZ0248:00009:,Lumpy
550,XZ0249:00001:,Lumpy
551,XZ0421:00012:,Lumpy
552,XZ0489:00001:,Erratic
553,XZ0519:00005:,Lumpy
554,XZ0526:00005:,Lumpy
555,XZ0529:00007:,Erratic
556,XZ0564:00005:,Erratic
557,XZ0566:00009:,Smooth
558,XZ0573:00005:,Erratic
559,XZ0601:00005:,Lumpy
560,XZ0657:00001:,Lumpy
562,XZ0701:00005:,Lumpy
563,XZ0725-1:00005:,Lumpy
564,XZ0737:00001:,Lumpy
567,XZ0896:00024:,Intermittent
568,XZ0897:00044:,Erratic
569,XZ0902:00005:,Lumpy
571,XZ0912-1:00001:,Lumpy
572,XZ0912:00001:,Lumpy
573,XZ0913-1:00005:,Lumpy
574,XZ0913:00005:,Lumpy
575,XZ0914-1:00001:,Lumpy
576,XZ0914:00001:,Lumpy
577,XZ0929:00138:,Lumpy
578,XZ0930:00139:,Lumpy
579,XZ0972:00024:,Lumpy
580,XZ0973:00046:,Lumpy
581,XZ0986:00005:,Lumpy
